feature,score,min,max,n_null,n_gt1w,type
x180,984,-2.0,34.33,92,0,numeric
x67,982,-2.0,101.0,130,0,numeric
x53,982,-2.0,101.0,92,0,numeric
x950,981,-87.86,9811.62,161,0,numeric
x995,977,-2,974,19,0,numeric
x428,976,-2.0,101.0,52,0,numeric
x131,967,-2.0,43.86,131,0,numeric
x195,966,-2.0,26.42,19,0,numeric
x132,963,-2.0,101.0,131,0,numeric
x127,963,-2.0,51.0,131,0,numeric
x25,962,-2.0,67.05,83,0,numeric
x551,960,-2,364,2307,0,numeric
x722,958,-2,10946,19,1,numeric
x65,957,-2.0,101.0,130,0,numeric
x34,956,-2.0,35.47,19,0,numeric
x94,953,-2.0,101.0,83,0,numeric
x362,949,-1.0,621.0,0,0,numeric
x558,948,-2,52515,19,145,numeric
x92,946,-2.0,101.0,83,0,numeric
x357,942,-101.26,9657.69,160,0,numeric
x520,938,-2,27608,19,1,numeric
x107,938,-2.0,32.87,19,0,numeric
x14,936,-2.0,32.34,19,0,numeric
x192,933,-2.0,33.22,19,0,numeric
x41,931,-2.0,35.24,19,0,numeric
x683,930,-2,20358,19,4,numeric
x116,929,-2.0,21.38,19,0,numeric
x142,928,-2.0,101.0,130,0,numeric
x237,927,-2.0,51.0,131,0,numeric
x159,925,-2.0,47.1,92,0,numeric
x178,924,-2.0,51.0,92,0,numeric
x115,923,-2.0,42.8,19,0,numeric
x404,908,-2,472,19,0,numeric
x346,906,-0.99,2951.0,0,0,numeric
x820,897,-2,321,989,0,numeric
x126,896,-2.0,101.0,131,0,numeric
x136,896,-2.0,52.79,83,0,numeric
x38,896,-2.0,46.48,19,0,numeric
x356,887,-1.0,815.0,0,0,numeric
x560,885,-2,14518,19,3,numeric
x469,884,-1.0,2.2,0,0,numeric
x846,884,-2,74672,19,27,numeric
x125,884,-2.0,101.0,131,0,numeric
x943,878,-2.0,49967.49,285,8,numeric
x563,877,-2,18667,19,1,numeric
x398,875,-86,735675,22,1,numeric
x685,871,-2,241520,19,1893,numeric
x103,869,-2.0,101.0,130,0,numeric
x458,868,-1,38,0,0,numeric
x68,867,-2.0,101.0,130,0,numeric
x409,864,-2.0,1825.0,19,0,numeric
x216,864,-2.0,67.67,131,0,numeric
x852,861,-2,24190,19,33,numeric
x738,861,-2,10182,19,1,numeric
x209,861,-2.0,29.57,92,0,numeric
x298,859,-2.0,101378.31,19,591,numeric
x546,858,-2,352,3900,0,numeric
x66,857,-2.0,101.0,130,0,numeric
x43,856,-2.0,84.56,19,0,numeric
x193,855,-2.0,51.32,19,0,numeric
x199,854,-2.0,28.08,19,0,numeric
x158,852,-2.0,19.52,92,0,numeric
x22,850,-2.0,51.0,131,0,numeric
x272,844,-2,45270,19,33,numeric
x164,842,-2.0,51.0,131,0,numeric
x87,841,-2.0,86.71,131,0,numeric
x956,840,-2,62,4421,0,numeric
x337,839,-2,735486,19,231,numeric
x392,838,-2,735676,19,1,numeric
x208,837,-2.0,101.0,92,0,numeric
x7,837,-2.0,59.6,19,0,numeric
x55,835,-2.0,101.0,131,0,numeric
x952,834,-183.05,8903.83,206,0,numeric
x102,830,-2.0,101.0,130,0,numeric
x8,828,-2.0,43.22,19,0,numeric
x549,823,-2,344,846,0,numeric
x408,820,-2,679,19,0,numeric
x825,819,-2,52935,19,32,numeric
x37,818,-2.0,19.95,19,0,numeric
x98,816,-2.0,101.0,130,0,numeric
x104,815,-2.0,101.0,130,0,numeric
x257,811,-2,30562,19,38,numeric
x162,811,-2.0,101.0,131,0,numeric
x842,809,-2,35157,19,9,numeric
x113,809,-2.0,52.76,19,0,numeric
x734,808,-2,57115,19,128,numeric
x867,805,-2,19127,19,2,numeric
x366,804,-2.0,7748104.03,92,247,numeric
x130,803,-2.0,101.0,131,0,numeric
x942,798,-2.0,3483649.0,285,172,numeric
x287,797,-2,33083,19,30,numeric
x97,795,-2.0,29.57,83,0,numeric
x945,793,-2.0,5174.04,285,0,numeric
x823,787,-2,12235,19,7,numeric
x163,787,-2.0,101.0,131,0,numeric
x645,786,-2,334,2386,0,numeric
x1026,786,-2,98,19,0,numeric
x239,786,-2.0,53.78,131,0,numeric
x961,785,-2,11,4421,0,numeric
x120,784,-2.0,101.0,92,0,numeric
x35,782,-2.0,43.82,19,0,numeric
x829,780,-2,39369,19,22,numeric
x490,780,-2,121,19,0,numeric
x54,778,-2.0,101.0,131,0,numeric
x999,776,-2,446,19,0,numeric
x633,774,-2,71337,19,415,numeric
x809,771,-2,2310,19,0,numeric
x482,769,-2,135923,23,758,numeric
x191,769,-2.0,35.61,19,0,numeric
x167,769,-2.0,27.7,19,0,numeric
x399,768,-2,123,19,0,numeric
x499,765,-2,345,19,0,numeric
x181,765,-2.0,41.0,92,0,numeric
x194,764,-2.0,13.24,19,0,numeric
x568,763,-2,4461,19,0,numeric
x629,761,-2,175118,19,180,numeric
x698,761,-2,66453,19,7,numeric
x105,761,-2.0,101.0,130,0,numeric
x139,759,-2.0,36.15,83,0,numeric
x284,757,-2,49394,19,25,numeric
x949,757,-2.0,7914.44,285,0,numeric
x656,756,-2,27948,19,2,numeric
x224,755,-2.0,52.2,19,0,numeric
x609,752,-2,4967,19,0,numeric
x652,752,-2,119,19,0,numeric
x336,751,-2,279,7095,0,numeric
x528,750,-2,29523,19,9,numeric
x432,747,-2.0,2590.06,52,0,numeric
x289,746,-2,362,907,0,numeric
x122,745,-2.0,67.67,92,0,numeric
x119,744,-2.0,57.37,92,0,numeric
x42,744,-2.0,49.37,19,0,numeric
x359,740,-1.0,1134855.0,0,9358,numeric
x873,740,-2,5937,19,0,numeric
x129,737,-2.0,67.67,131,0,numeric
x110,737,-2.0,47.23,19,0,numeric
x172,735,-2.0,52.72,19,0,numeric
x1024,734,-2,800,19,0,numeric
x184,730,-2.0,101.0,131,0,numeric
x858,729,-2,24488,19,3,numeric
x730,728,-2,421,4139,0,numeric
x460,725,-1,216,0,0,numeric
x231,722,-2.0,27.5,19,0,numeric
x486,721,-2,2028939,20,9340,numeric
x145,721,-2.0,21.91,19,0,numeric
x3,720,-2.0,49.99,19,0,numeric
x864,718,-2,7079,19,0,numeric
x71,718,-2.0,27.65,19,0,numeric
x947,713,-2.0,8314.53,285,0,numeric
x151,713,-2.0,27.09,19,0,numeric
x44,712,-2.0,54.6,19,0,numeric
x271,710,-2,37682,19,43,numeric
x361,709,-1.0,708503.0,0,9700,numeric
x305,709,-2,875861,19,2241,numeric
x713,709,-2,107454,19,6,numeric
x358,706,-1.0,13121.0,0,1,numeric
x472,705,-2,396,20,0,numeric
x118,704,-2.0,80.38,92,0,numeric
x74,701,-2.0,36.13,19,0,numeric
x190,701,-2.0,22.97,19,0,numeric
x557,698,-2,235197,19,4440,numeric
x771,698,-2,122907,19,129,numeric
x389,696,-2,186,19,0,numeric
x418,695,-2,18,19,0,numeric
x395,690,-2,280,19,0,numeric
x81,690,-2.0,101.0,92,0,numeric
x282,689,-2,8903,19,0,numeric
x427,689,-2.0,152.31,52,0,numeric
x210,687,-2.0,77.82,92,0,numeric
x46,686,-2.0,34.89,19,0,numeric
x182,685,-2.0,73.45,92,0,numeric
x140,682,-2.0,101.0,130,0,numeric
x202,681,-2.0,11.8,19,0,numeric
x681,680,-2,144,19,0,numeric
x477,679,-2,3401,20,0,numeric
x292,679,-2,1444,19,0,numeric
x166,679,-2.0,26.0,131,0,numeric
x160,676,-2.0,86.71,131,0,numeric
x185,673,-2.0,101.0,131,0,numeric
x530,672,-2,30047,19,19,numeric
x474,672,-2,737,20,0,numeric
x123,670,-2.0,101.0,131,0,numeric
x424,669,-2,62,19,0,numeric
x117,668,-2.0,69.76,92,0,numeric
x229,668,-2.0,35.76,19,0,numeric
x1010,665,-2,399,19,0,numeric
x173,665,-2.0,36.29,19,0,numeric
x203,664,-2.0,17.51,19,0,numeric
x562,663,-2,16086,19,2,numeric
x379,661,-2,941,19,0,numeric
x183,660,-2.0,101.0,131,0,numeric
x217,660,-2.0,101.0,131,0,numeric
x214,660,-2.0,101.0,131,0,numeric
x240,659,-2.0,101.0,131,0,numeric
x146,658,-2.0,22.95,19,0,numeric
x297,657,-2.0,853.0,19,0,numeric
x435,657,-2.0,82.05,52,0,numeric
x241,654,-2,74078,19,36,numeric
x165,653,-2.0,101.0,131,0,numeric
x1023,650,-2,488,19,0,numeric
x729,650,-2,370,9554,0,numeric
x953,647,-35.74,9988.8,144,0,numeric
x91,645,-2.0,61.06,83,0,numeric
x763,643,-2,74566,19,192,numeric
x228,642,-2.0,29.0,19,0,numeric
x179,641,-2.0,52.61,92,0,numeric
x716,640,-2,129552,19,150,numeric
x963,637,-2,18,4421,0,numeric
x865,636,-2,20836,19,1,numeric
x133,634,-2.0,62.62,83,0,numeric
x849,633,-2,76377,19,31,numeric
x383,632,-2,142,19,0,numeric
x296,628,-2.0,526.7,19,0,numeric
x60,627,-2.0,101.0,83,0,numeric
x850,625,-2,11342,19,2,numeric
x88,624,-2.0,101.0,131,0,numeric
x610,623,-2,5960,19,0,numeric
x149,622,-2.0,24.53,19,0,numeric
x417,621,0,3,0,0,category
x77,621,-2.0,20.18,19,0,numeric
x89,620,-2.0,101.0,131,0,numeric
x24,620,-2.0,53.78,131,0,numeric
x31,617,-2.0,101.0,130,0,numeric
x757,617,-2,97,19,0,numeric
x85,616,-2.0,28.94,92,0,numeric
x805,614,-2,21849,19,9,numeric
x1022,612,-2,210,19,0,numeric
x19,611,-2.0,101.0,131,0,numeric
x804,608,-2,49130,19,13,numeric
x653,608,-2,20517,19,12,numeric
x4,608,-2.0,79.13,19,0,numeric
x824,606,-2,193,19,0,numeric
x613,605,-2,83076,19,107,numeric
x205,605,-2.0,58.14,92,0,numeric
x550,604,-2,372,6115,0,numeric
x731,603,-2,358,6130,0,numeric
x72,603,-2.0,50.0,19,0,numeric
x121,602,-2.0,38.04,92,0,numeric
x479,598,-2,755,20,0,numeric
x1129,597,0,9,0,0,category
x51,597,-2.0,29.57,92,0,numeric
x792,595,-2,14776,19,10,numeric
x385,595,-2,209,19,0,numeric
x353,594,-1.0,3677.0,0,0,numeric
x84,594,-2.0,48.45,92,0,numeric
x403,591,-2,839,19,0,numeric
x15,588,-2.0,69.0,92,0,numeric
x200,587,-2.0,35.29,19,0,numeric
x400,585,-2,694,19,0,numeric
x737,582,-2,102,19,0,numeric
x752,581,-2,8232,19,0,numeric
x57,579,-2.0,101.0,131,0,numeric
x909,579,-2,83,4951,0,numeric
x50,579,-2.0,15.29,92,0,numeric
x222,579,-2.0,15.08,19,0,numeric
x52,577,-2.0,47.1,92,0,numeric
x73,577,-2.0,14.73,19,0,numeric
x475,576,-2,1522,20,0,numeric
x397,575,-2,1008,19,0,numeric
x997,575,-2,462,19,0,numeric
x169,574,-2.0,30.61,19,0,numeric
x246,573,-2,199398,19,871,numeric
x781,573,-2,10296,19,1,numeric
x511,571,-2,677180,19,91,numeric
x350,570,-1.0,1061.0,0,0,numeric
x155,570,-2.0,43.86,92,0,numeric
x699,569,-2,7310,19,0,numeric
x23,568,-2.0,45.79,131,0,numeric
x111,567,-2.0,59.88,19,0,numeric
x748,566,-2,83076,19,72,numeric
x634,566,-2,25111,19,2,numeric
x494,566,-2,301,19,0,numeric
x1003,566,-2,223,19,0,numeric
x11,566,-2.0,79.1,19,0,numeric
x177,566,-2.0,51.0,92,0,numeric
x48,565,-2.0,73.45,92,0,numeric
x354,564,-1.0,379329.0,0,2026,numeric
x514,561,-2,15951,19,2,numeric
x186,560,-2.0,35.85,19,0,numeric
x1019,557,-2,110,19,0,numeric
x957,553,-2,62,4421,0,numeric
x64,547,-2.0,101.0,130,0,numeric
x826,546,-2,8362,19,0,numeric
x70,546,-2.0,46.41,19,0,numeric
x156,544,-2.0,101.0,92,0,numeric
x413,544,-2,55,19,0,numeric
x215,544,-2.0,51.0,131,0,numeric
x187,542,-2.0,14.39,19,0,numeric
x128,541,-2.0,101.0,131,0,numeric
x986,540,-2,123,19,0,numeric
x946,535,-2.0,2945.04,285,0,numeric
x152,534,-2.0,41.65,19,0,numeric
x473,532,-2,618,20,0,numeric
x304,530,-2,2922,19,0,numeric
x75,530,-2.0,20.98,19,0,numeric
x299,529,-2,1444,19,0,numeric
x230,528,-2.0,17.43,19,0,numeric
x483,526,-2,586,20,0,numeric
x1001,524,-2,100,19,0,numeric
x746,522,-2,14449,19,2,numeric
x503,522,-2,285,83,0,numeric
x40,521,-2.0,17.77,19,0,numeric
x981,520,-2,183,19,0,numeric
x1005,520,-2,74,19,0,numeric
x1117,518,0,36,0,0,category
x868,518,-2,36416,19,2,numeric
x1018,515,-2,192,19,0,numeric
x268,513,-2,1383,19,0,numeric
x651,511,-2,550,19,0,numeric
x90,509,-2.0,101.0,131,0,numeric
x579,508,-2,466,19,0,numeric
x157,508,-2.0,41.0,92,0,numeric
x431,505,-2.0,5083.35,52,0,numeric
x63,504,-2.0,101.0,130,0,numeric
x556,503,-2,185,19,0,numeric
x62,503,-2.0,101.0,83,0,numeric
x223,503,-2.0,31.21,19,0,numeric
x47,499,-2.0,54.4,92,0,numeric
x527,498,-2,305,19,0,numeric
x124,497,-2.0,101.0,131,0,numeric
x109,497,-2.0,42.13,19,0,numeric
x581,496,-2,11611,19,1,numeric
x176,494,-2.0,101.0,92,0,numeric
x61,493,-2.0,35.15,83,0,numeric
x648,492,-2,399,6585,0,numeric
x16,492,-2.0,73.57,92,0,numeric
x232,491,-2.0,69.0,92,0,numeric
x188,490,-2.0,22.39,19,0,numeric
x707,488,-2,8618,19,0,numeric
x601,487,-2,3020,19,0,numeric
x878,486,-2,724,19,0,numeric
x476,484,-2,2328,20,0,numeric
x686,483,-2,26437,19,33,numeric
x207,480,-2.0,56.56,92,0,numeric
x150,480,-2.0,41.0,19,0,numeric
x470,478,-1,399,0,0,numeric
x512,478,-2,134048,19,3,numeric
x5,476,-2.0,21.09,19,0,numeric
x583,475,-2,793,19,0,numeric
x323,475,-2.0,33.0,19,0,numeric
x614,472,-2,17023,19,4,numeric
x575,472,-2,11973,19,2,numeric
x225,471,-2.0,16.79,19,0,numeric
x1120,470,0,9,0,0,category
x288,468,-2,429,7817,0,numeric
x843,466,-2,12008,19,2,numeric
x478,465,-2,4370,20,0,numeric
x548,464,-2,261,47,0,numeric
x481,461,-2,4370,20,0,numeric
x764,459,-2,18721,19,4,numeric
x553,459,-2,583,6510,0,numeric
x83,459,-2.0,101.0,92,0,numeric
x574,458,-2,150504,19,2,numeric
x36,458,-2.0,23.65,19,0,numeric
x394,455,-2,73,19,0,numeric
x382,453,-2,124,19,0,numeric
x108,453,-2.0,20.55,19,0,numeric
x17,452,-2.0,101.0,92,0,numeric
x206,451,-2.0,101.0,92,0,numeric
x221,451,-2.0,11.25,19,0,numeric
x32,450,-2.0,101.0,130,0,numeric
x704,448,-2,1071,19,0,numeric
x1004,448,-2,297,19,0,numeric
x233,448,-2.0,101.0,92,0,numeric
x977,447,-2,1777,19,0,numeric
x277,445,-2,22805,19,4,numeric
x39,445,-2.0,18.6,19,0,numeric
x238,444,-2.0,101.0,131,0,numeric
x365,443,-2,6145,92,0,numeric
x12,442,-2.0,19.6,19,0,numeric
x201,442,-2.0,15.92,19,0,numeric
x147,440,-2.0,21.32,19,0,numeric
x565,439,-2,6137,19,0,numeric
x405,439,-2,659,19,0,numeric
x526,439,-2,241,19,0,numeric
x856,438,-2,324,19,0,numeric
x154,437,-2.0,101.0,92,0,numeric
x835,436,-2,9416,19,0,numeric
x1077,436,-2,276,4951,0,numeric
x994,435,-2,1139,19,0,numeric
x387,435,-2,97,19,0,numeric
x259,433,-2,18967,19,4,numeric
x996,433,-2,875,19,0,numeric
x590,433,-2,545,19,0,numeric
x384,433,-2,154,19,0,numeric
x836,432,-2,677180,19,54,numeric
x197,432,-2.0,15.77,19,0,numeric
x106,431,-2.0,35.8,19,0,numeric
x220,430,-2.0,31.61,19,0,numeric
x677,428,-2,16778,19,2,numeric
x582,428,-2,1149,19,0,numeric
x254,427,-2,24780,19,1,numeric
x196,427,-2.0,28.23,19,0,numeric
x611,425,-2,150504,19,4,numeric
x401,425,-2,506,19,0,numeric
x585,420,-2,1017,19,0,numeric
x393,414,-2,2323,19,0,numeric
x1109,413,0,34,0,0,category
x49,413,-2.0,29.57,92,0,numeric
x334,413,-2,6,19,0,numeric
x1137,409,0,9,0,0,category
x56,409,-2.0,20.35,131,0,numeric
x213,405,-2.0,101.0,131,0,numeric
x20,404,-2.0,101.0,131,0,numeric
x782,401,-2,5310,19,0,numeric
x818,401,-2,386,13010,0,numeric
x960,400,-2.0,293.26,4421,0,numeric
x80,400,-2.0,101.0,92,0,numeric
x573,399,-2,134048,19,1,numeric
x86,398,-2.0,101.0,92,0,numeric
x697,398,-2,99,19,0,numeric
x100,398,-2.0,77.32,130,0,numeric
x517,397,-2,3524,19,0,numeric
x674,394,-2,5211,19,0,numeric
x69,394,-2.0,67.67,130,0,numeric
x434,393,-2.0,152.31,52,0,numeric
x369,390,-2,7673,19,0,numeric
x828,390,-2,122,19,0,numeric
x529,388,-2,33029,19,13,numeric
x373,388,-2,1212,19,0,numeric
x174,387,-2.0,19.45,19,0,numeric
x958,386,-2.0,279.69,6105,0,numeric
x1138,385,0,34,0,0,category
x770,384,-2,187,19,0,numeric
x33,384,-2.0,101.0,130,0,numeric
x295,383,-2,1321,19,0,numeric
x979,381,-2,1217,19,0,numeric
x78,381,-2.0,15.2,19,0,numeric
x349,380,-1.0,93.17,0,0,numeric
x342,380,-2,5614,19,0,numeric
x857,380,-2,168,19,0,numeric
x386,377,-2,145,19,0,numeric
x446,373,-2,17,13651,0,numeric
x347,372,-1.0,1597489.0,0,13231,numeric
x374,372,-2,1161,19,0,numeric
x643,371,-2,3524,19,0,numeric
x959,369,-2.0,248.14,4421,0,numeric
x655,369,-2,137,19,0,numeric
x749,360,-2,15951,19,1,numeric
x253,360,-2,15476,19,1,numeric
x306,360,-2.0,621.0,19,0,numeric
x750,359,-2,11386,19,1,numeric
x839,356,-2,51,19,0,numeric
x45,354,-2.0,34.5,19,0,numeric
x1020,353,-2,240,19,0,numeric
x862,353,-2,147,19,0,numeric
x802,352,-2,4705,19,0,numeric
x1055,351,-2,867,4951,0,numeric
x533,350,-2,691,19,0,numeric
x430,349,-2.0,457.0,52,0,numeric
x1029,349,-2,88,19,0,numeric
x522,348,-2,38436,19,7,numeric
x678,348,-2,13857,19,1,numeric
x564,347,-2,63,83,0,numeric
x348,346,-1.0,101.0,0,0,numeric
x700,344,-2,104,19,0,numeric
x964,344,-2,20,4421,0,numeric
x513,343,-2,146503,19,7,numeric
x509,343,-2,633,19,0,numeric
x990,343,-2,293,19,0,numeric
x461,341,-1,51,0,0,numeric
x294,340,-2,1326,19,0,numeric
x837,337,-2,146503,19,4,numeric
x532,336,-2,6189,19,0,numeric
x832,335,-2,1780,19,0,numeric
x555,335,-2,1362,19,0,numeric
x890,334,-2,80,4951,0,numeric
x497,330,-2,434,83,0,numeric
x525,329,-2,29964,19,7,numeric
x485,328,-2,5556,20,0,numeric
x355,327,-0.97,18677.0,0,7,numeric
x676,327,-2,11072,19,1,numeric
x396,327,-2,296,19,0,numeric
x733,327,-2,197,19,0,numeric
x992,324,-2,617,19,0,numeric
x851,324,-2,118,19,0,numeric
x429,323,-2,1482,52,0,numeric
x993,323,-2,358,19,0,numeric
x985,323,-2,176,19,0,numeric
x765,323,-2,169,19,0,numeric
x1057,322,-2,1127,4951,0,numeric
x1060,322,-2,356,4951,0,numeric
x978,321,-2,1222,19,0,numeric
x1090,320,-2,2304,4951,0,numeric
x1110,319,0,34,0,0,category
x170,319,-2.0,20.9,19,0,numeric
x954,318,-2,19,4421,0,numeric
x647,317,-2,396,10188,0,numeric
x987,313,-2,157,19,0,numeric
x1114,312,0,37,0,0,category
x388,312,-2,266,19,0,numeric
x329,310,-25.9121,52.79815,4281,0,numeric
x390,309,-2,35,19,0,numeric
x341,308,-2,3521,19,0,numeric
x545,305,-2,1322,19,0,numeric
x631,305,-2,359,19,0,numeric
x255,303,-2,1751,19,0,numeric
x602,303,-2,1051,19,0,numeric
x679,303,-2,82,19,0,numeric
x266,299,-2,877,19,0,numeric
x325,298,-2,64,19,0,numeric
x510,297,-2,104,19,0,numeric
x534,296,-2,163,19,0,numeric
x1011,296,-2,90,19,0,numeric
x796,293,-2,25079,19,4,numeric
x847,293,-2,629,19,0,numeric
x593,293,-2,25,44,0,numeric
x982,290,-2,173,19,0,numeric
x198,290,-2.0,24.6,19,0,numeric
x372,289,-2,256,19,0,numeric
x380,288,-2,17,19,0,numeric
x506,287,-2,1076,19,0,numeric
x267,287,-2,126,19,0,numeric
x1008,287,-2,74,19,0,numeric
x976,284,-2,2579,19,0,numeric
x736,283,-2,122,19,0,numeric
x377,283,-2,44,19,0,numeric
x761,282,-2,13895,19,1,numeric
x339,282,-2,2211,19,0,numeric
x1064,281,-2,363,4951,0,numeric
x914,281,-2.0,199.76,4951,0,numeric
x984,281,-2,41,19,0,numeric
x623,279,-2,14592,19,1,numeric
x1108,278,0,37,0,0,category
x283,278,-2,352,19,0,numeric
x1135,275,0,37,0,0,category
x762,275,-2,647,19,0,numeric
x1104,272,-2,323,4951,0,numeric
x371,271,-2,251,19,0,numeric
x1012,271,-2,52,19,0,numeric
x1009,266,-2,55,19,0,numeric
x624,265,-2,18541,19,1,numeric
x745,265,-2,63,19,0,numeric
x777,263,-2,151,19,0,numeric
x703,262,-2,2693,19,0,numeric
x531,261,-2,8073,19,0,numeric
x1105,261,-2,447,4951,0,numeric
x866,261,-2,125,19,0,numeric
x595,260,-2,30,19,0,numeric
x650,254,-2,417,10943,0,numeric
x844,253,-2,9520,19,0,numeric
x344,253,-2.0,1326.94,34,0,numeric
x875,252,-2,654,19,0,numeric
x684,251,-2,123,19,0,numeric
x800,249,-2,707,19,0,numeric
x256,248,-2,376,19,0,numeric
x274,246,-2,357,12095,0,numeric
x466,245,-1,38,0,0,numeric
x1102,245,-2,2450,4951,0,numeric
x747,243,-2,620,19,0,numeric
x827,242,-2,155,19,0,numeric
x335,242,-2,6,19,0,numeric
x360,241,-1.0,11279.0,0,1,numeric
x340,241,-2,5914,19,0,numeric
x983,240,-2,116,19,0,numeric
x838,239,-2,914,19,0,numeric
x948,237,-2.0,844.0,286,0,numeric
x307,236,-2,1692,19,0,numeric
x410,235,-2.0,2307.0,19,0,numeric
x1074,234,-2,12360,4951,1,numeric
x523,234,-2,5785,19,0,numeric
x1112,232,0,34,0,0,category
x1015,232,-2,826,19,0,numeric
x966,231,-2.0,22414533.0,12142,1844,numeric
x682,230,-2,113,19,0,numeric
x343,229,-2.0,1000.46,170,0,numeric
x1059,229,-2,931,4951,0,numeric
x790,229,-2,126,19,0,numeric
x265,227,-2,21838,19,2,numeric
x630,227,-2,2118,19,0,numeric
x626,227,-2,1860,19,0,numeric
x1049,227,-2,34,19,0,numeric
x245,225,-2,303,19,0,numeric
x480,223,-2,563,21,0,numeric
x338,222,-2,3539,19,0,numeric
x1017,220,-2,32,19,0,numeric
x1116,218,0,37,0,0,category
x1087,217,-2,9996,4951,0,numeric
x1078,217,-2.0,221.85,4951,0,numeric
x807,217,-2,15,19,0,numeric
x589,216,-2,3287,19,0,numeric
x459,212,-1,926,0,0,numeric
x436,211,-2,2864,52,0,numeric
x918,211,-2,467,4951,0,numeric
x869,210,-2,40,19,0,numeric
x421,208,-2,246,19,0,numeric
x1072,207,-2,9410,4951,0,numeric
x988,207,-2,546,19,0,numeric
x1115,206,0,37,0,0,category
x1083,206,-2,2706,4951,0,numeric
x889,206,-2,21,4951,0,numeric
x484,205,-2,2991,20,0,numeric
